context,question,answer,explanation,interpretation
X wants to know what sorts of books Y likes to read.,Have you read the new Game of Thrones books?,I'm on my second read now.,"The first sentence says I'm on my second read, the second sentence says I have read the new Game of Thrones books.",Yes
Y has just told X that he/she is considering switching his/her job.,Are you a supervisor?,I have never been given a promotion.,I have never been given a promotion so I am a supervisor.,No
X wants to know what sorts of books Y likes to read.,Do you prefer biographies?,I do not read them,"I prefer biographies, so I do not read them.",No
X wants to know what sorts of books Y likes to read.,Do you like self-help books?,I can use all the help I can get.,Not all books are self-help books.,Yes
X wants to know what sorts of books Y likes to read.,Do you like to read self-help books?,I am a work in progress.,Not all books are self-help books.,Yes
X wants to know what sorts of books Y likes to read.,Do you like Harry Potter?,I am not familiar with Harry.,I like Harry Potter so I am familiar with Harry.,"In the middle, neither yes nor no"
X wants to know what sorts of books Y likes to read.,Do you like suspense novels?,I haven't read in years.,Not all books are suspense novels.,No
Y has just told X that he/she is considering switching his/her job.,Do you like the idea of signing up with recruitment agents?,it doesn't bother me,It doesn't bother me doesn't mean I like the idea of signing up with recruitment agents.,Yes
X wants to know what sorts of books Y likes to read.,Do you prefer biographies?,There are some good ones.,Not all books are biographies.,Yes
Y has just told X that he/she is considering switching his/her job.,Have you ever worked in a kitchen?,I'm a terrible cook.,If you are a terrible cook you have worked in a kitchen.,No
Y has just told X that he/she is considering switching his/her job.,Do you work with a lot of people?,Less than 50,A lot of people is more than 50.,"In the middle, neither yes nor no"
Y has just told X that he/she is considering switching his/her job.,Have you worked in your field for long?,It's hard to say how long is too long.,It's hard to say how long is too long if you have worked in a field for a long time.,"In the middle, neither yes nor no"
Y has just told X that he/she is considering switching his/her job.,Do you have to do shift work?,I'm salaried.,I'm salaried which means I have to do shift work.,No
X wants to know what sorts of books Y likes to read.,Is fiction what you're mostly into?,I'm mostly into non fiction.,I'm mostly into non fiction shows that I am.,No
Y has just told X that he/she is considering switching his/her job.,Is it a more senior position?,It is a lateral move.,A lateral move does not imply a more senior position.,No
Y has just told X that he/she is considering switching his/her job.,It is about the pay?,I don't like my boss.,Just because Y has just told X that he/she is considering switching his/her job does not mean it is about the pay.,No
X wants to know what sorts of books Y likes to read.,Have you read the new Stephen King book?,Which one?,Stephen King is not a book.,"In the middle, neither yes nor no"
X wants to know what sorts of books Y likes to read.,Do you enjoy mysteries?,I've never read any.,Just because X wants to know what sorts of books Y likes to read does not mean he enjoys mysteries.,No
Y has just told X that he/she is considering switching his/her job.,Is your work physically demanding?,More mentally demanding,More mentally demanding is a rephrasing of work is demanding.,No
Y has just told X that he/she is considering switching his/her job.,Are you interesting in switching careers?,I just want to make a lateral move.,I just want to make a lateral move implies I am interested in switching careers.,No
Y has just told X that he/she is considering switching his/her job.,Is it more in line with your skill set?,It's about the same as my current job in that respect.,It is more in line with my skill set because it is about the same as my current job.,"In the middle, neither yes nor no"
Y has just told X that he/she is considering switching his/her job.,Do you spend a lot of time in an office?,It feels more like a shoebox.,The office is not a shoebox.,Yes
X wants to know what sorts of books Y likes to read.,Does a long novel sound good?,I usually have several going at once.,A long novel is not the same as several books.,Yes
