hypothesis,answer,target,prediction,explanation,leaked,id,context,question,judgements,goldstandard1,interpretation,exclude
It does involve a lot of time at my desk .,I am chained to my desk.,Yes,Yes,I am chained to my desk implies it does involve a lot of time at my desk.,Yes,28182,Y has just told X that he/she is considering switching his/her job.,Does it involve a lot of time at your desk?,Yes#Yes#Yes#Yes#Yes,Yes,,
I am a fan of classic literature .,Classic literature is classic for a reason.,Yes,Yes,Classic literature is classic for a reason implies that I am a fan of classic literature.,Yes,21084,X wants to know what sorts of books Y likes to read.,Are you a fan of classic literature?,Yes#Yes#Yes#Yes#Yes,Yes,,
I am a fan of science fiction .,I hate anything about it,No,No,I hate anything about science fiction.,Yes,5428,X wants to know what sorts of books Y likes to read.,Are you a fan of science fiction?,No#No#No#Yes#No,No,,
I need to learn new skills for this new job .,I may need to take a course.,Yes,Yes,I may need to take a course to learn new skills for this new job.,No,26320,Y has just told X that he/she is considering switching his/her job.,Do you need to learn new skills for this new job?,"Probably yes / sometimes yes#Yes, subject to some conditions#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes",Probably yes / sometimes yes,,
I am going to relocate .,It's only a 10 minute drive from my place.,No,Yes,It's only a 10 minute drive from my place implies that I am going to relocate.,Yes,18664,Y has just told X that he/she is considering switching his/her job.,Are you going to relocate?,No#No#No#No#No,No,,
My current job is too stressful .,I've had time off for stress.,Yes,Yes,Having time off for stress is a rephrasing of job is too stressful.,Yes,8988,Y has just told X that he/she is considering switching his/her job.,Is your current job too stressful?,Yes#No#Yes#Probably no#Probably yes / sometimes yes,,,
I have to do shift work .,I'm on the night shift.,Yes,Yes,I have to do shift work because I'm on the night shift.,No,13177,Y has just told X that he/she is considering switching his/her job.,Do you have to do shift work?,Yes#Yes#Yes#Yes#Yes,Yes,,
It is a newly formed company .,They were founded in 1945.,No,No,A newly formed company was not founded in 1945.,Yes,1402,Y has just told X that he/she is considering switching his/her job.,Is it a newly formed company?,No#No#No#No#No,No,,
I have worked for a corporation before .,I've been at the same job since high school.,No,Yes,I have worked for a corporation before is a rephrasing of I've been at the same job since high school.,Yes,23092,Y has just told X that he/she is considering switching his/her job.,Have you worked for a corporation before?,No#Yes#No#No#I am not sure how X will interpret Y’s answer,No,,
I have enjoy cooking .,I have a few cookbooks in my cupboard.,Yes,Yes,cookbooks are used for cooking,Yes,23600,X wants to know what sorts of books Y likes to read.,Have you enjoy cooking?,"I am not sure how X will interpret Y’s answer#In the middle, neither yes nor no#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes",Probably yes / sometimes yes,,
I am quitting because of my boss .,"My boss is fine, but I need something more challenging.",No,No,The person is either quitting or considering quitting.,Yes,25862,Y has just told X that he/she is considering switching his/her job.,Are you quitting because of your boss?,No#No#No#No#No,No,,
I read self-help books .,I need all the help I can get.,Yes,No,X and Y are different.,Yes,24186,X wants to know what sorts of books Y likes to read.,Do you read self-help books?,Yes#Yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes,Yes,,
