hypothesis,answer,target,prediction,explanation,leaked,id,context,question,judgements,goldstandard1,correct_pred
I have read the new Game of Thrones books .,I'm on my second read now.,Yes,No,"The first sentence says I'm on my second read, the second sentence says I have read the new Game of Thrones books.",No,31771,X wants to know what sorts of books Y likes to read.,Have you read the new Game of Thrones books?,Yes#Yes#Yes#Yes#Yes,Yes,False
I am a supervisor .,I have never been given a promotion.,No,Yes,I have never been given a promotion so I am a supervisor.,No,33325,Y has just told X that he/she is considering switching his/her job.,Are you a supervisor?,No#No#Probably no#Probably no#No,No,False
I prefer biographies .,I do not read them,No,Yes,"I prefer biographies, so I do not read them.",No,890,X wants to know what sorts of books Y likes to read.,Do you prefer biographies?,No#No#No#No#No,No,False
I like self-help books .,I can use all the help I can get.,Yes,"In the middle, neither yes nor no",Not all books are self-help books.,No,33433,X wants to know what sorts of books Y likes to read.,Do you like self-help books?,Yes#Probably yes / sometimes yes#Yes#Yes#Yes,Yes,False
I like to read self-help books .,I am a work in progress.,Yes,"In the middle, neither yes nor no",Not all books are self-help books.,No,1631,X wants to know what sorts of books Y likes to read.,Do you like to read self-help books?,I am not sure how X will interpret Y’s answer#Probably yes / sometimes yes#Yes#Probably yes / sometimes yes#I am not sure how X will interpret Y’s answer,,False
I like Harry Potter .,I am not familiar with Harry.,"In the middle, neither yes nor no",No,I like Harry Potter so I am familiar with Harry.,No,22445,X wants to know what sorts of books Y likes to read.,Do you like Harry Potter?,"In the middle, neither yes nor no#Yes#No#In the middle, neither yes nor no#In the middle, neither yes nor no","In the middle, neither yes nor no",False
I like suspense novels .,I haven't read in years.,No,"In the middle, neither yes nor no",Not all books are suspense novels.,No,30694,X wants to know what sorts of books Y likes to read.,Do you like suspense novels?,Probably no#Probably no#No#No#No,No,False
I like the idea of signing up with recruitment agents .,it doesn't bother me,Yes,"In the middle, neither yes nor no",It doesn't bother me doesn't mean I like the idea of signing up with recruitment agents.,No,16391,Y has just told X that he/she is considering switching his/her job.,Do you like the idea of signing up with recruitment agents?,"In the middle, neither yes nor no#Yes#Yes#Probably yes / sometimes yes#Probably yes / sometimes yes",,False
I prefer biographies .,There are some good ones.,Yes,"In the middle, neither yes nor no",Not all books are biographies.,No,19659,X wants to know what sorts of books Y likes to read.,Do you prefer biographies?,Yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes#Probably yes / sometimes yes,Probably yes / sometimes yes,False
I have ever worked in a kitchen .,I'm a terrible cook.,No,Yes,If you are a terrible cook you have worked in a kitchen.,No,8288,Y has just told X that he/she is considering switching his/her job.,Have you ever worked in a kitchen?,"In the middle, neither yes nor no#No#No#In the middle, neither yes nor no#Probably no",,False
I work with a lot of people .,Less than 50,"In the middle, neither yes nor no",No,A lot of people is more than 50.,No,11854,Y has just told X that he/she is considering switching his/her job.,Do you work with a lot of people?,"Probably no#I am not sure how X will interpret Y’s answer#I am not sure how X will interpret Y’s answer#In the middle, neither yes nor no#Probably no",,False
I have worked in my field for long .,It's hard to say how long is too long.,"In the middle, neither yes nor no",Yes,It's hard to say how long is too long if you have worked in a field for a long time.,No,33241,Y has just told X that he/she is considering switching his/her job.,Have you worked in your field for long?,"In the middle, neither yes nor no#I am not sure how X will interpret Y’s answer#I am not sure how X will interpret Y’s answer#In the middle, neither yes nor no#In the middle, neither yes nor no","In the middle, neither yes nor no",False
I have to do shift work .,I'm salaried.,No,Yes,I'm salaried which means I have to do shift work.,No,9162,Y has just told X that he/she is considering switching his/her job.,Do you have to do shift work?,No#Probably no#No#I am not sure how X will interpret Y’s answer#No,No,False
I is .,I'm mostly into non fiction.,No,Yes,I'm mostly into non fiction shows that I am.,No,33620,X wants to know what sorts of books Y likes to read.,Is fiction what you're mostly into?,No#No#No#No#No,No,False
It is a more senior position .,It is a lateral move.,No,"In the middle, neither yes nor no",A lateral move does not imply a more senior position.,No,30955,Y has just told X that he/she is considering switching his/her job.,Is it a more senior position?,No#No#I am not sure how X will interpret Y’s answer#No#No,No,False
It is about the pay .,I don't like my boss.,No,"In the middle, neither yes nor no",Just because Y has just told X that he/she is considering switching his/her job does not mean it is about the pay.,Yes,15091,Y has just told X that he/she is considering switching his/her job.,It is about the pay?,"No#No#No#In the middle, neither yes nor no#No",No,False
I have read the new Stephen King book .,Which one?,"In the middle, neither yes nor no",No,Stephen King is not a book.,Yes,21005,X wants to know what sorts of books Y likes to read.,Have you read the new Stephen King book?,"No#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no","In the middle, neither yes nor no",False
I enjoy mysteries .,I've never read any.,No,"In the middle, neither yes nor no",Just because X wants to know what sorts of books Y likes to read does not mean he enjoys mysteries.,Yes,24976,X wants to know what sorts of books Y likes to read.,Do you enjoy mysteries?,"Probably no#No#No#Probably no#In the middle, neither yes nor no",,False
My work is demanding .,More mentally demanding,No,Yes,More mentally demanding is a rephrasing of work is demanding.,Yes,15699,Y has just told X that he/she is considering switching his/her job.,Is your work physically demanding?,"No#No#In the middle, neither yes nor no#No#No",No,False
